15340492_75|15340492|9917|#section_info|0:63|Blocking ELO-5 Function Causes Growth and Developmental Defects|#main_body|GO:0010259|multicellular organism aging|#go_definition|IMP|GOA|elo-5(177320)|#gene_synonym
15340492_77|15340492|9981|#section_info|231:747|Worms originating from wild-type eggs laid on the elo-5(RNAi) plates displayed no obvious growth or morphological abnormality until the second day of adulthood, when they developed an egg-laying defect (Figure 5B). Eggs of the next generation hatched on time but the progeny arrested at the first of the four larval stages (L1). The small larvae maintained morphological integrity and could survive on a plate for up to 3-4 d. The arrest was only observed in progeny of parents exposed to elo-5 RNAi at the L1 stage.|#main_body|GO:0061067|negative regulation of dauer larval development|Any process that decreases the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.|IMP|GOA|elo-5(177320)|#gene_synonym
15340492_79|15340492|10729|#section_info|820:1023|The development of the elo-5 RNAi phenotypes is likely due to a gradual elimination of the ELO-5-associated functions. Our data suggest that these functions are crucial for larval growth and development.|#main_body|GO:0090446|negative regulation of nematode larval development, heterochronic|Any process that decreases the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.|IMP|GOA|elo-5(177320)|#gene_synonym
15340492_85|15340492|10729|#section_info|0:158$$709:819|When parental animals were subjected to elo-5 RNAi at later larval stages (L2-L4), their progeny did not arrest in L1 but continued to develop into adulthood. An egg-laying defect became apparent and only a few progeny arose from these worms, which then arrested at L1.|#main_body|GO:0090446|negative regulation of nematode larval development, heterochronic|Any process that decreases the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.|IMP|GOA|elo-5(177320)|#gene_synonym
15340492_87|15340492|11753|#section_info|0:300|We also obtained a likely null mutant of the elo-5 gene, elo-5(gk208), which has a 245-bp deletion eliminating the predicted first exon (Genome Science Center, BC Cancer Research Center, Vancouver, British Columbia, Canada). This allele phenocopies the L1 arrest phenotype of the elo-5(RNAi) animals.|#main_body|GO:0061067|negative regulation of dauer larval development|Any process that decreases the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.|IMP|GOA|elo-5(177320)|#gene_synonym
15340492_99|15340492|15019|#section_info|0:406|The essential roles of C15ISO and C17ISO were also supported through an examination of the elo-5(gk208) deletion mutant. The homozygous mutants grew without any obvious morphological defects when maintained on the plates supplemented with C17ISO or seeded with S. maltophilia. However, removal of the FA supplements or  by bleaching resulted in the same L1 arrest phenotype seen for the elo-5(RNAi) worms.|#main_body|GO:0090446|negative regulation of nematode larval development, heterochronic|Any process that decreases the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.|IMP|GOA|elo-5(177320)|#gene_synonym
15340492_101|15340492|15425|#section_info|0:119|L1 Arrest of the elo-5(RNAi) Animals Is Reversible and Related to the Variations in Levels of C17ISO during Development|#main_body|GO:0040027|negative regulation of vulval development|Any process that decreases the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.|IMP|GOA|elo-5(177320)|#gene_synonym
15340492_105|15340492|15545|#section_info|0:315|We then asked if elo-5(RNAi) animals arrested at the L1 stage could be recovered by adding the 17-carbon mmBCFA supplements. Indeed, C17ISO and C17anteISO could effectively release L1 larvae from the developmental arrest; about 50% of 2-d-arrested and 1% of 4-d-old L1 were rescued to full growth and proliferation.|#main_body|GO:0061067|negative regulation of dauer larval development|Any process that decreases the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.|IMP|GOA|elo-5(177320)|#gene_synonym
15340492_109|15340492|16226|#section_info|671:947|When RNAi-mediated disruption of elo-5 occurs at the L1 stage of a parent and consequently blocks C17ISO synthesis from that stage on, the eggs and L1 animals of the next generation are expected to contain a critically low concentration of C17ISO, halting further development.|#main_body|GO:0061067|negative regulation of dauer larval development|Any process that decreases the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.|IMP|GOA|elo-5(177320)|#gene_synonym
15340492_111|15340492|17357|#section_info|0:419|If elo-5 RNAi is applied to the parent worms at or after the L2 larval stage, when the amount of C17ISO has already been elevated and/or the RNAi effect is less penetrant, the progeny may receive sufficient C17ISO to pass the L1 arrest stage. The resulting animals, however, become visibly unhealthy at the L4 and adult stages as mentioned earlier, suggesting that C17ISO also plays a role in late developmental stages.|#main_body|GO:0061067|negative regulation of dauer larval development|Any process that decreases the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.|IMP|GOA|elo-5(177320)|#gene_synonym
15340492_117|15340492|21939|#section_info|0:64|The Worm SREBP Homolog Controls Production of Branched-Chain FAs|#main_body|GO:1902324|positive regulation of methyl-branched fatty acid biosynthetic process|#go_definition|NONE|GOA|lpd-1(176574)|#gene_synonym
