17908240_1|17908240|125|#section_info|0:0|we have found that the reduction in M1 mACh receptor responsiveness is decreased in quiescent |#main_body|GO:0071213|cellular response to 1-aminocyclopropane-1-carboxylic acid|#go_definition|IEP|GOA|Mch1|#gene_synonym
17908240_3|17908240|3572|#section_info|0:0|Endogenous GRK6 regulates M1 mACh receptors through a phosphorylation-dependent mechanism in hippocampal neurons, whilst endogenous GRK2 is able to use both phosphorylation-dependent and -independent (through the direct interaction of the regulator of G-protein signalling-like domain on the N-terminus of GRK2 and GTP-bound Galphaq/11) mechanisms to regulate M1 mACh receptors in PLC signalling and desensitization (Willets et al. 2004, 2005). |#main_body|GO:0060167|regulation of adenosine receptor signaling pathway|#go_definition|TAS|GOA|Adrbk1(25238)|#gene_synonym
17908240_4|17908240|3572|#section_info|0:0|Endogenous GRK6 regulates M1 mACh receptors through a phosphorylation-dependent mechanism in hippocampal neurons, whilst endogenous GRK2 is able to use both phosphorylation-dependent and -independent (through the direct interaction of the regulator of G-protein signalling-like domain on the N-terminus of GRK2 and GTP-bound Galphaq/11) mechanisms to regulate M1 mACh receptors in PLC signalling and desensitization (Willets et al. 2004, 2005). |#main_body|GO:1900256|regulation of beta1-adrenergic receptor activity|#go_definition|TAS|GOA|Grk6(59076)|#gene_synonym
17908240_5|17908240|3572|#section_info|0:0|Endogenous GRK6 regulates M1 mACh receptors through a phosphorylation-dependent mechanism in hippocampal neurons, whilst endogenous GRK2 is able to use both phosphorylation-dependent and -independent (through the direct interaction of the regulator of G-protein signalling-like domain on the N-terminus of GRK2 and GTP-bound Galphaq/11) mechanisms to regulate M1 mACh receptors in PLC signalling and desensitization (Willets et al. 2004, 2005). |#main_body|GO:0002032|desensitization of G protein-coupled receptor signaling pathway by arrestin|#go_definition|TAS|GOA|Adrbk1(25238)|#gene_synonym
17908240_6|17908240|3572|#section_info|0:0|Endogenous GRK6 regulates M1 mACh receptors through a phosphorylation-dependent mechanism in hippocampal neurons, whilst endogenous GRK2 is able to use both phosphorylation-dependent and -independent (through the direct interaction of the regulator of G-protein signalling-like domain on the N-terminus of GRK2 and GTP-bound Galphaq/11) mechanisms to regulate M1 mACh receptors in PLC signalling and desensitization (Willets et al. 2004, 2005). |#main_body|GO:0002032|desensitization of G protein-coupled receptor signaling pathway by arrestin|#go_definition|TAS|GOA|Grk6(59076)|#gene_synonym
17908240_7|17908240|3572|#section_info|0:0|Our current data suggest that increased synaptic activity enhances hippocampal M1 mACh receptor desensitization through mechanisms involving endogenous GRK2 and Ca2+-sensitive protein kinase C (PKC) isoenzyme(s).|#main_body|GO:0002032|desensitization of G protein-coupled receptor signaling pathway by arrestin|#go_definition|NONE|GOA|Adrbk1(25238)|#gene_synonym
17908240_10|17908240|19645|#section_info|0:0|In D110A,K220RGRK2-transfected neurons the R2/R1 ratio difference was dramatically reduced indicating that inhibition of endogenous GRK2 attenuates M1 mACh receptor desensitization under all conditions,|#main_body|GO:0002032|desensitization of G protein-coupled receptor signaling pathway by arrestin|#go_definition|IMP|GOA|Adrbk1(25238)|#gene_synonym
17908240_11|17908240|19645|#section_info|0:0|However, inhibition of endogenous GRK6 appeared to partially prevent picrotoxin-enhanced M1 mACh receptor desensitization (Fig. 3e).|#main_body|GO:0002032|desensitization of G protein-coupled receptor signaling pathway by arrestin|#go_definition|IMP|GOA|Grk6(59076)|#gene_synonym
17908240_12|17908240|22219|#section_info|0:0|Thus, these data are strongly suggestive that under conditions of picrotoxin-enhanced synaptic activity, GRK2 and PKCs act together to enhance M1 mACh receptor desensitization.|#main_body|GO:0002032|desensitization of G protein-coupled receptor signaling pathway by arrestin|#go_definition|NONE|GOA|Adrbk1(25238)|#gene_synonym
17908240_13|17908240|25579|#section_info|0:0|Stimulation of M1 mACh receptors with MCh (3 mumol/L) produced a rapid and transient translocation of MARCKS to the cytoplasm, which quickly returned to the plasma membrane on agonist removal. |#main_body|GO:1905128|positive regulation of axo-dendritic protein transport|#go_definition|IDA|GOA|Chrm1(25229)|#gene_synonym
17908240_14|17908240|25579|#section_info|0:0|To determine whether PKC or Ca2+/CaM were responsible for M1 mACh receptor-mediated MARCKS translocation the following protocol was used. Neurons were stimulated with MCh (3 mumol/L) for 30 s (S1) and then washed to allow recovery of MARCKS to baseline levels. Neurons were then treated with staurosporine  Neurons were then subjected to a second MCh (3 mumol/L, 30 s) challenge (S2). Comparison of S1 and S2 responses indicated that MCh-stimulated eGFP-MARCKS translocation was almost completely inhibited following staurosporine treatment (Fig. 5c and d), while W7 and W5 treatments were without effect (Fig. 5d). These data suggest that agonist-driven eGFP-MARCKS translocation is mediated through PKC activation in hippocampal neurons.|#main_body|GO:1905128|positive regulation of axo-dendritic protein transport|#go_definition|IDA|GOA|Chrm1(25229)|#gene_synonym
