17908240_1|17908240|125|#section_info|0:0|we have found that the reduction in M1 mACh receptor responsiveness is decreased in quiescent |#main_body|GO:0009961|response to 1-aminocyclopropane-1-carboxylic acid|#go_definition|IEP|GOA|Mch1|#gene_synonym
0.62	17908240_121|17908240|16053|Results|0:0|These data suggest that the enhancement of M1 mACh receptor desensitization by picrotoxin is dependent on AMPA receptor activation.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_14|17908240|3572|abstract|0:0|We have also already provided substantial evidence that M1 mACh receptor/PLC signalling in hippocampal neurons is regulated by G protein-coupled receptor kinases (GRKs).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_115|17908240|14966|Results|0:0|These data suggest that the degree of synaptic activity also regulates the duration of agonist-mediated desensitization, and a delay in M1 mACh receptor re-sensitization is particularly evident when inhibitory GABAergic activity is blocked by picrotoxin.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_138|17908240|18871|Results|0:0|Under these conditions picrotoxin failed to produce any change in the R2/R1 ratio, indicating that a burst of synaptic activity alone is unable to induce M1 mACh receptor desensitization (data not shown).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
17908240_2|17908240|3572|#section_info|0:0|M1 mACh receptors are the major subtype signalling through Gq/11 to phospholipase C (PLC) and phosphoinositide hydrolysis in the hippocampus (Porter et al. 2002) and we have provided direct evidence for this signalling using fluorescence imaging approaches in single hippocampal neurons (Nash et al. 2004; Willets et al. 2004, 2005; Young et al. 2005).|#main_body|GO:0003675|protein|#go_definition|TAS|GOA|Chrm1(25229)|#gene_synonym
0.7	17908240_34|17908240|6241|Materials and methods|0:0|2004; Willets et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.69	17908240_23|17908240|3572|abstract|0:0|2004; Young et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.69	17908240_53|17908240|7956|Materials and methods|0:0|2002, 2004; Willets et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.69	17908240_91|17908240|11513|Results|0:0|2004; Young et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.69	17908240_97|17908240|11513|Results|0:0|2004; Young et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.68	17908240_11|17908240|2283|abstract|0:0|Indeed, there is recent strong evidence for modulation of synaptic plasticity by the physiological activation of hippocampal M1 mACh receptors (Shinoe et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_237|17908240|45007|Discussion|0:0|It has also been shown previously that M1 mACh receptor stimulation can activate extracellular signal-regulated kinase in hippocampal neurons (Berkeley et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.66	17908240_25|17908240|3572|abstract|0:0|Indeed, previous studies have revealed that the level of synaptic activity in such cultures dramatically alters M1 mACh receptor inositol 1,4,5-trisphosphate generation and Ca2+ release from stores (Nash et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.66	17908240_219|17908240|37977|Discussion|0:0|We have also shown that activation of M1 mACh receptors can increase synaptic excitability in hippocampal neurons, probably via an agonist-mediated depletion of phosphatidylinositol 4,5-bisphosphate and activation of Ih (Young et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_84|17908240|11513|Results|0:0|Our previous work has extensively characterized the desensitization of M1 mACh receptors in immature (< 10 days in vitro, hereafter DIV), non-synaptically active hippocampal neurons (Willets et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_216|17908240|37977|Discussion|0:0|2003; Nash et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_233|17908240|45007|Discussion|0:0|There is substantial evidence that GRK-mediated phosphorylation of mACh receptors brings about the recruitment of arrestins that enhance receptor internalization and lead to the redistribution of receptors to organellar compartments within the cytoplasm in primary neurons (Volpicelli and Levey 2004; Bernard et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_12|17908240|2283|abstract|0:0|2005) and cholinergic neurotransmission has long been associated with cognitive processes, such as learning and memory (Blokland 1995; Fadda et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
