19635791_1|19635791|2703|#section_info|541:698|Because both mtGTP synthesis and anaplerotic flux correlate with insulin secretion, we investigated whether the GTP-dependent mitochondrial isoform of PEPCK,|#main_body|GO:0006183|GTP biosynthetic process|#go_definition|NONE|GOA|Pepck(362282)|#gene_synonym
0.55	19635791_260|19635791|47351|DISCUSSION|0:0|Functional coordination of GTP synthesis by SCS-GTP with PEPCK-M synthesis of PEP has been shown such that at high flux rates there was nearly a 1:1 relationship between mtGTP synthesis and PEP production in isolated mitochondria (23).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.53	19635791_261|19635791|47351|DISCUSSION|0:0|Moreover, PEP synthesis by PEPCK-M was proposed to be involved in calcium-dependent increases in gluconeogenesis whereby increases in cytosolic calcium activated the 2-OG dehydrogenase to increase net GTP synthesis by SCS-GTP (48).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
19635791_4|19635791|17703|#section_info|544:667|E, PEPCK activity in the mitochondrial fraction of INS-1 832/13 cells and rat islets compared with glutamate dehydrogenase |#fig_caption|GO:0005739|mitochondrion|#go_definition|IDA|GOA|Pck2(361042)|#gene_synonym
0.57	19635791_7|19635791|144|abstract|0:0|PEPCK enzymatic activity is half that of primary hepatocytes and is localized exclusively to the mitochondria.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.57	19635791_18|19635791|1722|abstract|0:0|In particular, beta-cells are known to have notably elevated rates of anaplerotic flux of the carbon from glucose into the mitochondria and back out to pyruvate (pyruvate cycling) that is tightly correlated with insulin secretion (1-4).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.52	19635791_221|19635791|40119|DISCUSSION|0:0|The lack of activity in the mitochondrial fraction could be because either the mitochondria were still intact and reactants could not get in or contaminating mitochondrial outer membrane-associated enolase activity consumed the PEP.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.48	19635791_125|19635791|21815|RESULTS|0:0|After entry into the mitochondria, pyruvate carboxylase (PC) can metabolize [3-13C]pyruvate into OAA that becomes racemized across carbons 2 and 3 as a consequence of rapid equilibration across fumarase (Fig. 3A).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.47	19635791_220|19635791|40119|DISCUSSION|0:0|When the mitochondrial fraction was studied, intact mitochondria were added to a similar reaction mixture that contained ITP and Mg2+ but with no inhibitors.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.47	19635791_265|19635791|48497|DISCUSSION|0:0|Previously it has been demonstrated that PEPCK-M synthesis of PEP in the mitochondria rapidly leads to export of PEP from such mitochondria and has a maximum matrix concentration of 11 nmol/mg of mitochondria (9).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.47	19635791_288|19635791|51703|DISCUSSION|0:0|Given that parallel malic enzyme reactions occur in the cytosol and mitochondria as well as parallel cytosolic NADPH-generating reactions (e.g.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.46	19635791_268|19635791|48497|DISCUSSION|0:0|PEP was later demonstrated to have the same effect on mitochondrial calcium extrusion as had been seen in other tissues, and it was proposed that PEP stimulated insulin secretion by mobilizing Ca2+ from the mitochondria in an adenine nucleotide transporter-dependent manner (53, 54).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.46	19635791_273|19635791|48497|DISCUSSION|0:0|In the event where the cataplerotically synthesized PEP (via PEPCK-M from anaplerotically generated OAA and mtGTP) is transported out of the mitochondria to join the cytosolic PEP pool, a PEP cycle will, thus, be formed, coupling TCA cycle flux with PC flux (Fig. 1).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.45	19635791_260|19635791|47351|DISCUSSION|0:0|Functional coordination of GTP synthesis by SCS-GTP with PEPCK-M synthesis of PEP has been shown such that at high flux rates there was nearly a 1:1 relationship between mtGTP synthesis and PEP production in isolated mitochondria (23).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.43	19635791_201|19635791|36544|DISCUSSION|0:0|Compartmentalization of PEPCK to the cytosol and mitochondria of the rat has been compared mostly by measuring enzymatic activity either directly or indirectly in fractions of tissue homogenate with the percentage of PEPCK-M activity ranging from undetectable (6, 28), 5% (29), 6% (30), 10% (31),18% (32), 25% (33, 34), to 50% (35).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.4	19635791_272|19635791|48497|DISCUSSION|0:0|Thus, because total PEP concentrations may not be important for insulin release, the signal from mitochondria-generated PEP is more likely to be either via intramitochondrial allosteric effects or via the transport of PEP out of the matrix in exchange or in lieu of another metabolite.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.34	19635791_35|19635791|5102|EXPERIMENTAL PROCEDURES|0:0|Mitochondria were isolated from this supernatant by centrifugation at 10,000 rcf for 10 min.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
