22348040_4|22348040|85|#section_info|373:482|The eight ZmPMP3s were membrane proteins and their sequences in trans-membrane regions were highly conserved.|#main_body|GO:0016020|membrane|#go_definition|NONE|GOA|PMP3s(nac1;pmpm2;pmpm3;pmpm4;pmpm5;pmpm6;pmpm7)|#gene_synonym
0.64	22348040_53|22348040|7940|Results|0:0|Comparison of the amino acid sequences of these eight genes revealed that the membrane spanning regions were highly conserved and the difference in protein lengths was caused by variable lengths of the C-terminal (Figure 1A).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.58	22348040_222|22348040|32884|Discussion|0:0|The conserved amino acid sequences and subcellular localization indicated that they shared conservative functions as membrane proteins.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.45	22348040_366|22348040|56671|Supporting Information|0:0|The OsLti6 genes encoding low-molecular-weight membrane proteins are differentially expressed in rice cultivars with contrasting sensitivity to low temperature.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.41	22348040_240|22348040|37592|Discussion|0:0|Therefore, it suggested that the process of ZmPMP3s regulating membrane potential was independent on the presence of Ca2+.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.38	22348040_17|22348040|3409|Introduction|0:0|Recently, some factors responsible for ion transport, such as nonselective cation channels (NSCCs), ion transporters and membrane-potential modulators, have been characterized.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.19	22348040_394|22348040|59611|Supporting Information|0:0|Membrane Potential Defect in Hygromycin B-resistant pmal Mutants of Saccharomyces cerevisiae.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
22348040_11|22348040|12321|#section_info|168:458|The ZmPMP3s-GFP fusion proteins were transiently expressed in onion epidermal cells and the subcellular localizations of these fusion proteins were visualized by confocal microscopy. As showed in Figure 2, GFP protein was found in the nucleus, cytoplasm, and cell membrane (Figure 2A, S2C).|#main_body|GO:0005829|cytosol|#go_definition|IDA|GOA|PMP3 genes(3760032)|#gene_synonym
0.47	22348040_8|22348040|2155|Introduction|0:0|The living cells often maintain high concentration of K+ and low concentration of Na+ in the cytosol, which is important for activities of many cytosolic enzymes.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
22348040_12|22348040|12321|#section_info|168:458|The ZmPMP3s-GFP fusion proteins were transiently expressed in onion epidermal cells and the subcellular localizations of these fusion proteins were visualized by confocal microscopy. As showed in Figure 2, GFP protein was found in the nucleus, cytoplasm, and cell membrane (Figure 2A, S2C).|#main_body|GO:0005886|plasma membrane|#go_definition|IDA|GOA|PMP3 genes(3760032)|#gene_synonym
0.64	22348040_80|22348040|12321|Results|0:0|All of eight ZmPMP3-GFP fusion proteins showed GFP signals in the peripheral layer of cells, a location of which may correspond to either cell wall or plasma membrane.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.52	22348040_31|22348040|5067|Introduction|0:0|The PMP3 protein (Pmp3p) was also identified in yeast (Saccharomyces cerevisiae), which functions in the maintenance of plasma membrane potential.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.49	22348040_279|22348040|45940|Materials and Methods|0:0|Based on an EST homologous to the plasma membrane protein 3 (Pmp3p) which was obtained from a previously constructed cDNA library [60], the specific full-length primers were designed as follows: F,  and R, .|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.48	22348040_24|22348040|3409|Introduction|0:0|As a plasma membrane Na+/H+-antiporter, SOS1 is an important tolerance determinant involved in the exclusion of sodium ions from cells [9], [10].|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.48	22348040_54|22348040|9513|Results|0:0|Comparison of ZmPMP3s and plasma membrane protein 3 related proteins.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.46	22348040_367|22348040|56832|Supporting Information|0:0|Membrane hyperpolarization and salt sensitivity induced by deletion of PMP3, a highly conserved small protein of yeast plasma membrane.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.45	22348040_117|22348040|17950|Results|0:0|Deletion of PMP3 in yeast causes the hyperpolarization of cell membrane and consequently disrupted ion homeostasis.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
